Team,SubTeam,Position,Link,Name,Email,Picture,Bio
Local organisers,North East,North East,,Lex Jurowscy,lex.jurowscy@hmrc.gov.uk,,
Local organisers,North West,North West,,Matthew Walker,MATTHEW.WALKER1@dwp.gov.uk,,
Local organisers,Scotland,Scotland,,Derek Bradford,derek.bradford@hmrc.gov.uk,,
Local organisers,Scotland,,,Steven Brittain,STEVEN.BRITTAIN@dwp.gov.uk,,
Local organisers,South West,South West,,Andrew Cowler,Andrew.Cowler@ofsted.gov.uk,,
Local organisers,South West,,,Katharine Sendell,katherine.sendell@cabinetoffice.gov.uk,,
Local organisers,West Midlands,West Midlands,,Jo Forbes,Jo.FORBES@education.gov.uk,,
Projects,Bi+ inclusion,Bi+ inclusion,/about/our-team/bi-inclusion/,Mary Peart,mary.peart@civilservice.lgbt,/assets/images/team/mary-peart.png,"I am a Senior Policy Advisor at MHCLG, having previously worked at Defra, DWP and the Government Equalities Office. I volunteered for the CS LGBT+ Network and chose to focus specifically on bi inclusion because I believe in equality and inclusion for everyone. It is well documented that bi people face specific barriers at work and I want to help change that for the benefit of individuals and the wider organisation."
Projects,Bi+ inclusion,,,Anne Ramsden,,/assets/images/team/anne-ramsden.jpeg,"I’m a content designer at DWP Digital in Manchester. I’m quite new to government, having spent more of my working life in the voluntary sector, most recently at the National Autistic Society. I’m passionate about inclusion and equality. The Civil Service can only be an inclusive place to work if we have better bi+ visibility and if bi+ people are better understood."
Projects,Bi+ inclusion,,,Sunny Thompson,,/assets/images/team/sunny-thompson.jpeg,"I’m based in the Rural Payments Agency in Carlisle.  I volunteered because I feel passionately about bi inclusion, being a married bi person in a rural community with no “scene” I am exceptionally invisible!  I am the vice chair and bi rep of Defra’s LGBAT network and I make sure that bi+ issues get plenty of coverage in my weekly bulletin to our members and allies."
Projects,Bi+ inclusion,,,Emma Altmann-Richer,,/assets/images/team/emma-altmann-richer.jpeg,"I'm an HR Business Partner in the Government Commercial Organisation, part of Cabinet Office, which is my first role in the Civil Service and my first placement in the HR Fast Stream. In my first few weeks here, I attended a BiSpace event in London and was inspired to meet so many bi civil servants and this motivated me to get involved in the bi committee. Since then I've produced content for our bi-visibility fact sheet, represented civil service LGBT+ at a diversity and inclusion event and am helping to plan a bi-visibility event to take place during Pride season. I hope all these initiatives will continue to make bi civil servants like myself feel acknowledged and represented. "
Projects,Bi+ inclusion,,,Amy Gamaleldeen,,/assets/images/team/amy-gamaleldeen.jpeg,"I’m a Strategy Advisor in Defra, working on Our Future 2030 Programme and supporting on aspects of the Spending Review 2019. I was excited to join the Bi Inclusion team because this is something that is very personal to me as a bisexual. It often feels that we are not recognised in our heteronormative society as well as the LGBT community. I am also a Stonewall workplace role model and have spoken at the yearly conference about bi inclusion in the workplace."
Projects,Bi+ inclusion,,,Diana Reynolds,,/assets/images/team/diana-reynolds.jpeg,"Having worked in the private, public and third sectors, I finally became a civil servant in 2000.  I have identified as bi and trans since I was very young and, more recently (when I finally came across the word) as pan.  In 2018, I joined the Welsh Government LGBT+ Network, PRISM, as our (first ever) Bi representative. I run a long term change programme in Welsh Government and I am interested in how we can all adapt and develop in ways that fully appreciate the beauty and strength in human variety. "
Projects,Inclusive Policy,Inclusive Policy,,James Jefferson,james.jefferson@communities.gov.uk,,
Projects,People Survey analysis,People Survey analysis,,,,,
Projects,Campaigns,Campaigns,,,,,
Projects,Allies,Allies,,,,,
